clean_file,noise_file,snr_original,snr_gauss,imp_gauss,rmse_gauss,snr_butter,imp_butter,rmse_butter,snr_specgate,imp_specgate,rmse_specgate,snr_wavelet,imp_wavelet,rmse_wavelet
Speech1,Sprinkler,8.59802451223677,8.306890121577993,-0.291134390658776,0.05035646193838113,8.4832713774099,-0.11475313482687,0.049344203833360044,9.794771615775065,1.1967471035382964,0.04242883763191494,8.503497132258675,-0.09452737997809457,0.04922943577553969
Speech1,Keyboard,20.16857428416117,16.10597534300441,-4.062598941156761,0.020516390080472877,19.899024156329347,-0.26955012783182397,0.013257099232694695,13.72240736507145,-6.44616691908972,0.026994752291191533,18.31156335173385,-1.8570109324273218,0.01591554618955417
Speech1,WaterDrop,15.895879465603462,13.24683194330098,-2.6490475223024816,0.0285139981932088,15.780158439249924,-0.11572102635353865,0.02130059784376245,12.243072825256975,-3.652806640346487,0.032007081349015455,14.323084802136126,-1.5727946634673362,0.02519100388054466
Speech1,FireCrackle,4.036189409925292,4.094898323001912,0.05870891307661985,0.08178144856060844,3.550182957408979,-0.486006452516313,0.08707441533340902,6.784684317388352,2.7484949074630602,0.060001968557429626,4.178133187682306,0.14194377775701383,0.08100149892464735
Speech1,Chainsaw,0.9385941943526315,1.7793259283483973,0.8407317339957658,0.10676610973178016,0.932390181697622,-0.006204012655009472,0.11770101440665284,0.7556150511368603,-0.18297914321577113,0.1201210064553679,2.6630620570940415,1.72446786274141,0.09643764847782639
Speech2,Sprinkler,15.497849888764076,14.777496535856564,-0.7203533529075123,0.025830145817942223,15.392761795787317,-0.10508809297675903,0.024063765950598535,12.957144255145947,-2.5407056336181295,0.031852569495556024,14.581591586080688,-0.9162583026833886,0.026419348600247555
Speech2,Keyboard,25.49778000827482,20.721765532905827,-4.776014475368992,0.013029069719633532,25.032794076494326,-0.4649859317804932,0.007931621491323012,14.304692167582564,-11.193087840692256,0.027275145517453234,23.304171365391117,-2.193608642883703,0.009678167104209136
Speech2,WaterDrop,25.526921174534568,20.608347964941874,-4.918573209592694,0.013200314741775857,25.05681701192692,-0.4701041626076474,0.007909714975331028,14.350673491288578,-11.17624768324599,0.02713113798366748,23.405678400965865,-2.121242773568703,0.009565722207541807
Speech2,FireCrackle,10.556732199930565,10.407628761278245,-0.14910343865232,0.042718918238152485,10.373121921324701,-0.18361027860586354,0.04288896723950894,11.02844154021011,0.4717093402795456,0.03977219935993415,10.509505560328913,-0.047226639601651854,0.04222079500289597
Speech2,Chainsaw,6.781782814049859,7.619791366996499,0.8380085529466399,0.05888600836629204,5.562216202478075,-1.2195666115717847,0.07462612213283873,6.1598359717627,-0.6219468422871595,0.06966423719948783,8.374256297252163,1.592473483202304,0.05398695959389983
Speech3,Sprinkler,8.352105076273917,3.177247215854715,-5.174857860419202,0.05016864286137808,8.09721159740208,-0.25489347887183733,0.02847305937661565,12.881158874883564,4.529053798609647,0.016414844384673326,6.026735419981661,-2.3253696562922554,0.03613748651760143
